epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.46834,1.60334,42.6557,1.04179,0.00011,0.31034,5e-05,1e-05,1.73584,73.72,1.10697,0.000649123,0.000649123,0.000649123
2,18.5939,1.60623,34.0016,0.99674,0.00011,0.31034,5e-05,1e-05,1.73376,73.6212,1.10645,0.00130276,0.00130276,0.00130276
3,24.2845,1.72459,26.562,1.27875,0.0001,0.27586,4e-05,1e-05,1.72779,38.6651,1.24514,0.0019432,0.0019432,0.0019432
4,29.885,1.78554,23.4534,1.23704,0.49003,0.2069,0.20752,0.09632,1.52094,37.76,1.08761,0.0019406,0.0019406,0.0019406
5,35.4692,1.3405,22.055,0.88759,0.00283,0.17241,0.00123,0.00043,1.73878,336.493,1.39115,0.0019208,0.0019208,0.0019208
6,41.1795,1.77493,17.9786,1.22941,0.2551,0.26009,0.14877,0.06026,1.633,29.8275,1.25636,0.001901,0.001901,0.001901
7,46.8174,1.3128,15.4032,1.0021,0.08268,0.13793,0.0403,0.01341,1.52845,33.9997,1.1193,0.0018812,0.0018812,0.0018812
8,52.4457,1.67834,14.4524,1.11254,0.12241,0.30785,0.13207,0.04508,1.44406,21.5274,1.08701,0.0018614,0.0018614,0.0018614
9,57.9606,1.40129,12.0898,1.01076,0.22155,0.31034,0.13329,0.0404,1.50412,20.4455,1.12284,0.0018416,0.0018416,0.0018416
10,63.6686,1.58716,10.063,1.17102,0.3019,0.24138,0.23891,0.07808,1.46728,15.1231,1.12281,0.0018218,0.0018218,0.0018218
11,69.3175,1.55825,8.33154,1.15103,0.39647,0.13793,0.13652,0.05464,1.39303,13.5383,1.04317,0.001802,0.001802,0.001802
12,75.0881,1.81094,7.27624,1.28824,0.00069,0.41379,0.00036,0.00014,1.47436,680.498,3.24267,0.0017822,0.0017822,0.0017822
13,80.7824,1.63123,6.74032,1.09055,0.03511,0.2069,0.00936,0.00443,1.69265,22.3845,2.99553,0.0017624,0.0017624,0.0017624
14,86.5414,1.2389,6.09039,0.86264,0.00419,0.37931,0.00486,0.00191,1.51772,94.228,1.18448,0.0017426,0.0017426,0.0017426
15,92.3902,2.00125,5.28936,1.49044,0.0003,0.7931,0.01919,0.00494,1.86251,15.6444,1.68061,0.0017228,0.0017228,0.0017228
16,98.1999,1.3606,4.45153,1.13457,0.21817,0.34483,0.12488,0.04827,1.62635,7.30772,1.19837,0.001703,0.001703,0.001703
17,103.973,1.48598,4.18234,1.08299,0.22711,0.54721,0.35449,0.12665,1.40973,6.34758,1.0776,0.0016832,0.0016832,0.0016832
18,109.659,1.15857,3.69982,0.82945,0.66183,0.27036,0.30366,0.08922,1.60176,5.1777,1.20513,0.0016634,0.0016634,0.0016634
19,115.399,1.15093,3.36673,0.86746,0.52094,0.24138,0.30261,0.10444,1.45596,5.13225,1.06179,0.0016436,0.0016436,0.0016436
20,121.187,1.57353,3.40805,1.12339,0.01172,0.68966,0.24235,0.0844,1.39078,4.43629,1.18911,0.0016238,0.0016238,0.0016238
21,127,1.64471,3.09893,1.1515,0.26167,0.17116,0.15772,0.05375,1.39968,5.27552,1.26619,0.001604,0.001604,0.001604
22,132.717,1.23688,2.96964,0.96581,0.1271,0.13074,0.09724,0.03089,1.44733,4.10007,1.05165,0.0015842,0.0015842,0.0015842
23,138.546,1.55985,2.73176,1.16833,0.03527,0.27586,0.02015,0.00936,1.45594,4.70054,1.42471,0.0015644,0.0015644,0.0015644
24,144.355,1.3851,2.62241,1.02102,0.12617,0.13793,0.03952,0.01897,1.3392,3.86954,1.15787,0.0015446,0.0015446,0.0015446
25,150.116,1.27347,2.57785,0.9712,0.43033,0.37931,0.32309,0.11586,1.46618,3.64014,1.07845,0.0015248,0.0015248,0.0015248
26,156.036,1.78155,2.81352,1.18952,0.05141,0.58621,0.26144,0.0774,1.70828,3.80333,1.22386,0.001505,0.001505,0.001505
27,161.707,1.08213,2.44679,0.79562,0.03594,0.58621,0.1411,0.04399,1.627,3.52375,1.13866,0.0014852,0.0014852,0.0014852
28,167.387,1.09313,2.24735,0.79576,0.07849,0.44828,0.24029,0.10061,1.37772,3.02863,1.03393,0.0014654,0.0014654,0.0014654
29,173.197,1.53486,2.74093,1.20112,0.08183,0.48276,0.14349,0.06449,1.40365,2.95248,1.04165,0.0014456,0.0014456,0.0014456
30,179.238,1.53704,2.42508,1.12914,0.23558,0.41379,0.28962,0.12574,1.40179,2.8942,1.01184,0.0014258,0.0014258,0.0014258
31,185.22,1.4919,2.44749,1.13402,0.02447,0.24138,0.01318,0.00734,1.39667,7.56173,1.03285,0.001406,0.001406,0.001406
32,191.283,1.78695,2.71631,1.25394,0.18021,0.34483,0.17253,0.04851,1.46916,3.02221,1.04875,0.0013862,0.0013862,0.0013862
33,197.168,1.32695,2.12787,0.99997,0.04556,0.65517,0.13791,0.04673,1.48224,2.85559,1.08924,0.0013664,0.0013664,0.0013664
34,202.948,1.17709,1.95742,0.92477,0.27427,0.27586,0.14139,0.07306,1.34172,2.58987,1.02202,0.0013466,0.0013466,0.0013466
35,208.638,0.76064,1.53891,0.60378,0.43307,0.24138,0.23108,0.10789,1.34051,2.5749,0.97949,0.0013268,0.0013268,0.0013268
36,214.618,1.36816,1.97627,1.00088,0.32582,0.2069,0.21608,0.0844,1.43663,2.55886,1.05342,0.001307,0.001307,0.001307
37,220.545,1.44748,2.00303,1.05441,0.34568,0.2069,0.21121,0.06506,1.67443,2.53811,1.14294,0.0012872,0.0012872,0.0012872
